1	275	205	15	9	3	10
2	300	216,25	7	9	8	12
3	305	225	11	9	8	12
4	325	232,75	15	9	8	11
5	325	237,25	15	9	8	11
6	300	217,75	7	9	8	12
7	300	248,75	7	9	8	12
8	305	255,5	11	9	8	12
9	305	266,5	7	11	8	12
10	305	268,5	7	11	8	12
11	305	268,75	7	11	8	12
12	300	270	7	9	8	12
13	300	265,75	6	9	8	12
14	300	281,5	6	9	8	12
15	300	281,25	7	9	8	12
16	320	281,75	6	9	8	15
17	320	279,25	6	9	8	15
18	320	285,25	6	9	8	15
19	320	286	6	9	8	15
20	305	274,25	11	9	8	12
21	305	263,75	11	9	8	13
22	305	272,25	11	9	8	12
23	305	273,25	11	9	8	13
24	305	287,25	11	9	8	12
25	305	295	11	9	8	12
26	305	287,25	11	9	8	12
27	305	285,75	11	9	8	12
28	305	295,5	11	9	8	13
29	305	287,75	11	9	8	12
30	305	292,5	11	9	8	12
31	305	281	11	9	8	12
32	305	294,5	11	9	8	12
33	305	291,75	11	9	8	12
34	325	285,25	11	9	8	15
35	325	284,75	11	9	8	15
36	305	300,75	11	9	8	12
37	305	296,75	11	9	8	12
38	305	292,5	11	9	8	12
39	305	298,25	11	9	8	12
40	305	297,5	11	9	8	12
41	305	290,5	11	9	8	12
42	305	286,5	11	9	8	12
43	305	288,5	11	9	8	12
44	305	299,5	11	7	8	12
45	305	289,5	11	9	8	12
46	325	296	11	10	8	15
47	325	278,5	11	9	8	15
48	325	290,5	11	9	8	15
49	325	298,5	11	9	8	15
50	325	290,5	11	9	8	15
51	325	308,5	11	10	8	15
52	325	301,75	11	10	8	15
53	325	305,5	11	9	8	15
54	325	306	11	9	8	15
55	325	282,5	11	9	8	15
56	325	275	11	9	8	15
57	325	279,25	11	7	8	15
58	325	297	11	9	8	15
59	325	295,75	11	9	8	15
60	325	287,75	11	9	8	15
